Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient
2-P =,Untitled 2 Process
2-A =,Untitled 2 Ambient


Interval:,10,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
62,27/05/2019,14:12:00,55.5,17.7,44.1,19.2
63,27/05/2019,14:12:10,55.4,17.7,44.1,19.2
64,27/05/2019,14:12:20,55.3,17.7,44.2,19.2
65,27/05/2019,14:12:30,55.2,17.7,44.2,19.2
66,27/05/2019,14:12:40,55.2,17.7,44.3,19.2
67,27/05/2019,14:12:50,55.1,17.7,44.3,19.2
68,27/05/2019,14:13:00,55.0,17.7,44.4,19.2
69,27/05/2019,14:13:10,55.0,17.7,44.4,19.2
70,27/05/2019,14:13:20,54.9,17.7,44.4,19.2
71,27/05/2019,14:13:30,54.8,17.7,44.5,19.2
72,27/05/2019,14:13:40,54.7,17.7,44.5,19.2
73,27/05/2019,14:13:50,54.7,17.7,44.5,19.2
74,27/05/2019,14:14:00,54.6,17.7,44.6,19.2
75,27/05/2019,14:14:10,54.5,17.7,44.6,19.1
76,27/05/2019,14:14:20,54.5,17.7,44.6,19.1
77,27/05/2019,14:14:30,54.4,17.7,44.6,19.1
78,27/05/2019,14:14:40,54.3,17.7,44.6,19.1
79,27/05/2019,14:14:50,54.3,17.7,44.6,19.1
80,27/05/2019,14:15:00,54.2,17.7,44.7,19.1
81,27/05/2019,14:15:10,54.1,17.7,44.6,19.1
82,27/05/2019,14:15:20,54.1,17.7,44.6,19.1
83,27/05/2019,14:15:30,54.0,17.7,44.6,19.1
84,27/05/2019,14:15:40,54.0,17.7,44.7,19.1
85,27/05/2019,14:15:50,53.9,17.7,44.7,19.1
86,27/05/2019,14:16:00,53.9,17.7,44.7,19.1
87,27/05/2019,14:16:10,53.8,17.7,44.7,19.1
88,27/05/2019,14:16:20,53.7,17.7,44.7,19.1
89,27/05/2019,14:16:30,53.7,17.7,44.7,19.1
90,27/05/2019,14:16:40,53.6,17.6,44.7,19.1
91,27/05/2019,14:16:50,53.5,17.6,44.7,19.1
92,27/05/2019,14:17:00,53.4,17.6,44.7,19.1
93,27/05/2019,14:17:10,53.4,17.6,44.7,19.1
94,27/05/2019,14:17:20,53.3,17.6,44.7,19.1
95,27/05/2019,14:17:30,53.3,17.6,44.7,19.1
96,27/05/2019,14:17:40,53.2,17.6,44.7,19.1
97,27/05/2019,14:17:50,53.1,17.6,44.7,19.1
98,27/05/2019,14:18:00,53.1,17.6,44.7,19.1
99,27/05/2019,14:18:10,53.0,17.6,44.7,19.1
100,27/05/2019,14:18:20,53.0,17.6,44.7,19.1
101,27/05/2019,14:18:30,52.9,17.6,44.7,19.1
102,27/05/2019,14:18:40,52.9,17.6,44.7,19.1
103,27/05/2019,14:18:50,52.8,17.6,44.7,19.1
104,27/05/2019,14:19:00,52.8,17.6,44.7,19.1
105,27/05/2019,14:19:10,52.7,17.6,44.7,19.1
106,27/05/2019,14:19:20,52.7,17.6,44.6,19.1
107,27/05/2019,14:19:30,52.7,17.6,44.6,19.1
108,27/05/2019,14:19:40,52.6,17.6,44.6,19.1
109,27/05/2019,14:19:50,52.6,17.6,44.6,19.1
110,27/05/2019,14:20:00,52.5,17.6,44.6,19.1
111,27/05/2019,14:20:10,52.5,17.6,44.6,19.1
112,27/05/2019,14:20:20,52.4,17.6,44.5,19.1
113,27/05/2019,14:20:30,52.4,17.6,44.5,19.1
114,27/05/2019,14:20:40,52.4,17.6,44.5,19.1
115,27/05/2019,14:20:50,52.3,17.6,44.5,19.1
116,27/05/2019,14:21:00,52.3,17.6,44.5,19.1
117,27/05/2019,14:21:10,52.2,17.6,44.5,19.1
118,27/05/2019,14:21:20,52.2,17.6,44.4,19.1
119,27/05/2019,14:21:30,52.2,17.6,44.4,19.0
120,27/05/2019,14:21:40,52.1,17.6,44.4,19.0
121,27/05/2019,14:21:50,52.1,17.6,44.4,19.0
122,27/05/2019,14:22:00,52.1,17.6,44.3,19.0
123,27/05/2019,14:22:10,52.0,17.6,44.3,19.0
124,27/05/2019,14:22:20,52.0,17.6,44.3,19.0
125,27/05/2019,14:22:30,51.9,17.6,44.3,19.0
126,27/05/2019,14:22:40,51.9,17.6,44.2,19.0
127,27/05/2019,14:22:50,51.8,17.6,44.2,19.0
128,27/05/2019,14:23:00,51.8,17.6,44.2,19.0
129,27/05/2019,14:23:10,51.7,17.6,44.2,19.0
130,27/05/2019,14:23:20,51.7,17.6,44.1,19.0
131,27/05/2019,14:23:30,51.6,17.6,44.1,19.0
132,27/05/2019,14:23:40,51.6,17.6,44.1,19.0
133,27/05/2019,14:23:50,51.5,17.6,44.1,19.0
134,27/05/2019,14:24:00,51.5,17.6,44.1,19.0
135,27/05/2019,14:24:10,51.4,17.6,44.1,19.0
136,27/05/2019,14:24:20,51.4,17.6,44.0,19.0
137,27/05/2019,14:24:30,51.4,17.6,44.0,19.0
138,27/05/2019,14:24:40,51.3,17.6,44.0,19.0
139,27/05/2019,14:24:50,51.3,17.6,44.0,19.0
140,27/05/2019,14:25:00,51.2,17.6,44.0,19.0
141,27/05/2019,14:25:10,51.2,17.6,43.9,19.0
142,27/05/2019,14:25:20,51.2,17.6,43.9,19.0
143,27/05/2019,14:25:30,51.1,17.6,43.9,19.0
144,27/05/2019,14:25:40,51.1,17.6,43.9,19.0
145,27/05/2019,14:25:50,51.0,17.6,43.8,19.0
146,27/05/2019,14:26:00,51.0,17.6,43.8,19.0
147,27/05/2019,14:26:10,51.0,17.6,43.8,19.0
148,27/05/2019,14:26:20,50.9,17.6,43.8,19.0
149,27/05/2019,14:26:30,50.9,17.6,43.8,19.0
150,27/05/2019,14:26:40,50.8,17.6,43.7,19.0
151,27/05/2019,14:26:50,50.8,17.6,43.7,19.0
152,27/05/2019,14:27:00,50.8,17.6,43.7,19.0
153,27/05/2019,14:27:10,50.7,17.6,43.6,19.0
154,27/05/2019,14:27:20,50.7,17.6,43.6,19.0
155,27/05/2019,14:27:30,50.6,17.6,43.6,19.0
156,27/05/2019,14:27:40,50.6,17.6,43.6,19.0
157,27/05/2019,14:27:50,50.6,17.6,43.5,19.0
158,27/05/2019,14:28:00,50.5,17.6,43.5,19.0
159,27/05/2019,14:28:10,50.5,17.6,43.5,19.0
160,27/05/2019,14:28:20,50.5,17.6,43.4,18.9
161,27/05/2019,14:28:30,50.4,17.6,43.4,18.9
162,27/05/2019,14:28:40,50.4,17.6,43.3,18.9
163,27/05/2019,14:28:50,50.3,17.6,43.3,18.9
164,27/05/2019,14:29:00,50.3,17.6,43.3,18.9
165,27/05/2019,14:29:10,50.2,17.6,43.3,18.9
166,27/05/2019,14:29:20,50.2,17.6,43.3,18.9
167,27/05/2019,14:29:30,50.2,17.6,43.2,18.9
168,27/05/2019,14:29:40,50.1,17.6,43.2,18.9
169,27/05/2019,14:29:50,50.1,17.6,43.2,18.9
170,27/05/2019,14:30:00,50.1,17.6,43.2,18.9
171,27/05/2019,14:30:10,50.0,17.6,43.2,18.9
172,27/05/2019,14:30:20,50.0,17.6,43.2,18.9
173,27/05/2019,14:30:30,50.0,17.6,43.1,18.9
174,27/05/2019,14:30:40,49.9,17.6,43.1,18.9
175,27/05/2019,14:30:50,49.9,17.6,43.1,18.9
176,27/05/2019,14:31:00,49.9,17.6,43.0,18.9
177,27/05/2019,14:31:10,49.9,17.6,43.0,18.9
178,27/05/2019,14:31:20,49.8,17.6,43.0,18.9
179,27/05/2019,14:31:30,49.8,17.6,43.0,18.9
180,27/05/2019,14:31:40,49.7,17.6,43.0,18.9
181,27/05/2019,14:31:50,49.7,17.6,43.0,18.9
182,27/05/2019,14:32:00,49.7,17.6,43.0,18.9
183,27/05/2019,14:32:10,49.6,17.5,43.0,18.9
184,27/05/2019,14:32:20,49.6,17.5,42.9,18.9
185,27/05/2019,14:32:30,49.5,17.5,42.9,18.9
186,27/05/2019,14:32:40,49.5,17.5,42.9,18.9
187,27/05/2019,14:32:50,49.5,17.5,42.9,18.9
188,27/05/2019,14:33:00,49.4,17.5,42.9,18.9
189,27/05/2019,14:33:10,49.4,17.5,42.8,18.9
190,27/05/2019,14:33:20,49.4,17.5,42.8,18.9
191,27/05/2019,14:33:30,49.3,17.5,42.8,18.9
192,27/05/2019,14:33:40,49.3,17.5,42.8,18.9
193,27/05/2019,14:33:50,49.3,17.5,42.7,18.9
194,27/05/2019,14:34:00,49.2,17.5,42.7,18.9
195,27/05/2019,14:34:10,49.2,17.5,42.7,18.9
196,27/05/2019,14:34:20,49.2,17.5,42.7,18.9
197,27/05/2019,14:34:30,49.1,17.5,42.7,18.9
198,27/05/2019,14:34:40,49.1,17.5,42.6,18.9
199,27/05/2019,14:34:50,49.1,17.5,42.6,18.9
200,27/05/2019,14:35:00,49.0,17.5,42.6,18.9
201,27/05/2019,14:35:10,49.0,17.5,42.6,18.9
202,27/05/2019,14:35:20,49.0,17.5,42.6,18.9
203,27/05/2019,14:35:30,49.0,17.5,42.6,18.9
204,27/05/2019,14:35:40,48.9,17.5,42.5,18.9
205,27/05/2019,14:35:50,48.9,17.5,42.5,18.9
206,27/05/2019,14:36:00,48.9,17.5,42.5,18.9
207,27/05/2019,14:36:10,48.8,17.5,42.5,18.9
208,27/05/2019,14:36:20,48.7,17.5,42.5,18.9
209,27/05/2019,14:36:30,48.7,17.5,42.4,18.9
210,27/05/2019,14:36:40,48.7,17.5,42.4,18.9
211,27/05/2019,14:36:50,48.7,17.5,42.4,18.9
212,27/05/2019,14:37:00,48.6,17.5,42.4,18.9
213,27/05/2019,14:37:10,48.6,17.5,42.4,18.9
214,27/05/2019,14:37:20,48.6,17.5,42.3,18.9
215,27/05/2019,14:37:30,48.6,17.5,42.3,18.9
216,27/05/2019,14:37:40,48.6,17.5,42.3,18.9
217,27/05/2019,14:37:50,48.6,17.5,42.3,18.9
218,27/05/2019,14:38:00,48.5,17.5,42.3,18.9
219,27/05/2019,14:38:10,48.5,17.5,42.2,18.9
220,27/05/2019,14:38:20,48.5,17.5,42.2,18.9
221,27/05/2019,14:38:30,48.4,17.5,42.2,18.9
222,27/05/2019,14:38:40,48.4,17.5,42.2,18.9
223,27/05/2019,14:38:50,48.3,17.5,42.2,18.9
224,27/05/2019,14:39:00,48.3,17.5,42.2,18.9
225,27/05/2019,14:39:10,48.3,17.5,42.2,18.9
226,27/05/2019,14:39:20,48.2,17.5,42.1,18.9
227,27/05/2019,14:39:30,48.2,17.5,42.1,18.9
228,27/05/2019,14:39:40,48.2,17.5,42.1,18.9
229,27/05/2019,14:39:50,48.1,17.5,42.0,18.9
230,27/05/2019,14:40:00,48.1,17.5,42.0,18.9
231,27/05/2019,14:40:10,48.1,17.5,42.0,18.9
232,27/05/2019,14:40:20,48.0,17.4,42.0,18.9
233,27/05/2019,14:40:30,47.9,17.4,42.0,18.9
234,27/05/2019,14:40:40,47.9,17.4,41.9,18.9
235,27/05/2019,14:40:50,47.9,17.4,41.9,18.9
236,27/05/2019,14:41:00,47.8,17.4,41.8,18.8
237,27/05/2019,14:41:10,47.8,17.4,41.8,18.8
238,27/05/2019,14:41:20,47.8,17.4,41.8,18.8
239,27/05/2019,14:41:30,47.8,17.4,41.8,18.8
240,27/05/2019,14:41:40,47.8,17.4,41.7,18.8
241,27/05/2019,14:41:50,47.7,17.4,41.7,18.8
242,27/05/2019,14:42:00,47.7,17.4,41.7,18.8
243,27/05/2019,14:42:10,47.7,17.4,41.7,18.8
244,27/05/2019,14:42:20,47.7,17.4,41.7,18.8
245,27/05/2019,14:42:30,47.6,17.4,41.7,18.8
246,27/05/2019,14:42:40,47.6,17.4,41.6,18.8
247,27/05/2019,14:42:50,47.6,17.4,41.7,18.8
248,27/05/2019,14:43:00,47.5,17.4,41.6,18.8
249,27/05/2019,14:43:10,47.5,17.4,41.6,18.8
250,27/05/2019,14:43:20,47.5,17.4,41.6,18.8
251,27/05/2019,14:43:30,47.5,17.4,41.6,18.8
252,27/05/2019,14:43:40,47.5,17.4,41.6,18.8
253,27/05/2019,14:43:50,47.5,17.4,41.5,18.8
254,27/05/2019,14:44:00,47.4,17.4,41.5,18.8
255,27/05/2019,14:44:10,47.4,17.4,41.5,18.8
256,27/05/2019,14:44:20,47.3,17.4,41.5,18.8
257,27/05/2019,14:44:30,47.3,17.4,41.5,18.8
258,27/05/2019,14:44:40,47.3,17.4,41.5,18.8
259,27/05/2019,14:44:50,47.3,17.4,41.4,18.8
260,27/05/2019,14:45:00,47.2,17.4,41.4,18.8
261,27/05/2019,14:45:10,47.2,17.4,41.4,18.8
262,27/05/2019,14:45:20,47.2,17.4,41.4,18.8
263,27/05/2019,14:45:30,47.2,17.4,41.4,18.8
264,27/05/2019,14:45:40,47.1,17.4,41.4,18.8
265,27/05/2019,14:45:50,47.1,17.4,41.4,18.8
266,27/05/2019,14:46:00,47.1,17.4,41.3,18.8
267,27/05/2019,14:46:10,47.1,17.4,41.3,18.8
268,27/05/2019,14:46:20,47.0,17.4,41.3,18.8
269,27/05/2019,14:46:30,47.0,17.4,41.2,18.7
270,27/05/2019,14:46:40,47.0,17.4,41.2,18.7
271,27/05/2019,14:46:50,47.0,17.4,41.2,18.7
272,27/05/2019,14:47:00,46.9,17.4,41.2,18.7
273,27/05/2019,14:47:10,46.9,17.4,41.2,18.7
274,27/05/2019,14:47:20,46.9,17.4,41.1,18.7
275,27/05/2019,14:47:30,46.9,17.4,41.1,18.7
276,27/05/2019,14:47:40,46.9,17.4,41.1,18.7
277,27/05/2019,14:47:50,46.8,17.4,41.1,18.7
278,27/05/2019,14:48:00,46.8,17.4,41.1,18.7
279,27/05/2019,14:48:10,46.8,17.4,41.0,18.7
280,27/05/2019,14:48:20,46.7,17.4,41.0,18.7
281,27/05/2019,14:48:30,46.7,17.4,41.0,18.7
282,27/05/2019,14:48:40,46.7,17.4,41.0,18.7
283,27/05/2019,14:48:50,46.7,17.4,41.0,18.7
284,27/05/2019,14:49:00,46.7,17.4,41.0,18.7
285,27/05/2019,14:49:10,46.6,17.4,41.0,18.7
286,27/05/2019,14:49:20,46.6,17.4,40.9,18.7
287,27/05/2019,14:49:30,46.6,17.4,40.9,18.7
288,27/05/2019,14:49:40,46.6,17.4,40.9,18.7
289,27/05/2019,14:49:50,46.5,17.4,40.9,18.7
290,27/05/2019,14:50:00,46.5,17.4,40.9,18.7
291,27/05/2019,14:50:10,46.5,17.4,40.9,18.7
292,27/05/2019,14:50:20,46.5,17.4,40.9,18.7
293,27/05/2019,14:50:30,46.5,17.4,40.8,18.7
294,27/05/2019,14:50:40,46.4,17.4,40.8,18.7
295,27/05/2019,14:50:50,46.4,17.4,40.8,18.7
296,27/05/2019,14:51:00,46.4,17.4,40.8,18.7
297,27/05/2019,14:51:10,46.4,17.4,40.8,18.7
298,27/05/2019,14:51:20,46.4,17.4,40.7,18.7
299,27/05/2019,14:51:30,46.4,17.4,40.7,18.7
300,27/05/2019,14:51:40,46.3,17.4,40.7,18.7
301,27/05/2019,14:51:50,46.3,17.4,40.7,18.7
302,27/05/2019,14:52:00,46.3,17.4,40.7,18.7
303,27/05/2019,14:52:10,46.3,17.4,40.7,18.7
304,27/05/2019,14:52:20,46.3,17.4,40.7,18.7
305,27/05/2019,14:52:30,46.2,17.4,40.7,18.7
306,27/05/2019,14:52:40,46.2,17.4,40.7,18.7
307,27/05/2019,14:52:50,46.2,17.4,40.7,18.7
308,27/05/2019,14:53:00,46.1,17.4,40.7,18.7
309,27/05/2019,14:53:10,46.1,17.4,40.7,18.7
310,27/05/2019,14:53:20,46.1,17.4,40.7,18.7
311,27/05/2019,14:53:30,46.1,17.4,40.6,18.7
312,27/05/2019,14:53:40,46.1,17.4,40.6,18.7
313,27/05/2019,14:53:50,46.1,17.4,40.6,18.7
314,27/05/2019,14:54:00,46.0,17.4,40.6,18.7
315,27/05/2019,14:54:10,46.0,17.4,40.6,18.8
316,27/05/2019,14:54:20,45.9,17.4,40.6,18.8
317,27/05/2019,14:54:30,45.9,17.4,40.6,18.7
318,27/05/2019,14:54:40,45.9,17.4,40.6,18.7
319,27/05/2019,14:54:50,45.9,17.4,40.5,18.7
320,27/05/2019,14:55:00,45.9,17.4,40.5,18.7
321,27/05/2019,14:55:10,45.9,17.4,40.5,18.7
322,27/05/2019,14:55:20,45.8,17.4,40.5,18.7
323,27/05/2019,14:55:30,45.8,17.4,40.5,18.7
324,27/05/2019,14:55:40,45.8,17.4,40.5,18.7
325,27/05/2019,14:55:50,45.8,17.4,40.5,18.7
326,27/05/2019,14:56:00,45.8,17.4,40.4,18.7
327,27/05/2019,14:56:10,45.8,17.4,40.4,18.7
328,27/05/2019,14:56:20,45.7,17.4,40.4,18.7
329,27/05/2019,14:56:30,45.7,17.4,40.4,18.7
330,27/05/2019,14:56:40,45.7,17.4,40.4,18.7
331,27/05/2019,14:56:50,45.7,17.4,40.4,18.7
332,27/05/2019,14:57:00,45.6,17.4,40.3,18.7
333,27/05/2019,14:57:10,45.6,17.4,40.3,18.7
334,27/05/2019,14:57:20,45.6,17.4,40.3,18.7
335,27/05/2019,14:57:30,45.6,17.4,40.3,18.7
336,27/05/2019,14:57:40,45.6,17.4,40.3,18.7
337,27/05/2019,14:57:50,45.6,17.4,40.3,18.7
338,27/05/2019,14:58:00,45.5,17.4,40.3,18.7
339,27/05/2019,14:58:10,45.5,17.4,40.2,18.7
340,27/05/2019,14:58:20,45.5,17.4,40.2,18.7
341,27/05/2019,14:58:30,45.4,17.4,40.2,18.7
342,27/05/2019,14:58:40,45.4,17.4,40.2,18.7
343,27/05/2019,14:58:50,45.4,17.4,40.2,18.7
344,27/05/2019,14:59:00,45.4,17.4,40.2,18.7
345,27/05/2019,14:59:10,45.4,17.4,40.2,18.7
346,27/05/2019,14:59:20,45.4,17.4,40.2,18.7
347,27/05/2019,14:59:30,45.3,17.4,40.2,18.7
348,27/05/2019,14:59:40,45.3,17.4,40.2,18.7
349,27/05/2019,14:59:50,45.3,17.4,40.2,18.7
350,27/05/2019,15:00:00,45.3,17.4,40.2,18.7
351,27/05/2019,15:00:10,45.3,17.4,40.1,18.7
352,27/05/2019,15:00:20,45.3,17.4,40.1,18.7
353,27/05/2019,15:00:30,45.2,17.4,40.1,18.7
354,27/05/2019,15:00:40,45.2,17.4,40.1,18.7
355,27/05/2019,15:00:50,45.2,17.4,40.1,18.7
356,27/05/2019,15:01:00,45.2,17.4,40.1,18.7
357,27/05/2019,15:01:10,45.2,17.4,40.1,18.7
358,27/05/2019,15:01:20,45.2,17.4,40.1,18.7
359,27/05/2019,15:01:30,45.1,17.4,40.0,18.7
360,27/05/2019,15:01:40,45.1,17.4,40.0,18.7
361,27/05/2019,15:01:50,45.1,17.4,40.0,18.7
362,27/05/2019,15:02:00,45.1,17.4,40.0,18.7
363,27/05/2019,15:02:10,45.1,17.4,40.0,18.7
364,27/05/2019,15:02:20,45.0,17.4,39.9,18.7
365,27/05/2019,15:02:30,45.0,17.4,39.9,18.7
366,27/05/2019,15:02:40,45.0,17.4,39.9,18.7
367,27/05/2019,15:02:50,45.0,17.4,39.9,18.7
368,27/05/2019,15:03:00,45.0,17.4,39.9,18.7
369,27/05/2019,15:03:10,44.9,17.4,39.9,18.7
370,27/05/2019,15:03:20,44.9,17.4,39.9,18.7
371,27/05/2019,15:03:30,44.9,17.4,39.9,18.7
372,27/05/2019,15:03:40,44.9,17.4,39.9,18.7
373,27/05/2019,15:03:50,44.9,17.4,39.8,18.7
374,27/05/2019,15:04:00,44.9,17.4,39.8,18.7
375,27/05/2019,15:04:10,44.9,17.4,39.8,18.7
376,27/05/2019,15:04:20,44.8,17.4,39.8,18.7
377,27/05/2019,15:04:30,44.8,17.4,39.8,18.7
378,27/05/2019,15:04:40,44.8,17.4,39.8,18.7
379,27/05/2019,15:04:50,44.7,17.4,39.8,18.7
380,27/05/2019,15:05:00,44.7,17.4,39.7,18.7
381,27/05/2019,15:05:10,44.7,17.4,39.7,18.7
382,27/05/2019,15:05:20,44.7,17.4,39.7,18.7
383,27/05/2019,15:05:30,44.7,17.4,39.7,18.7
384,27/05/2019,15:05:40,44.7,17.4,39.7,18.7
385,27/05/2019,15:05:50,44.7,17.4,39.7,18.7
386,27/05/2019,15:06:00,44.7,17.4,39.7,18.7
387,27/05/2019,15:06:10,44.6,17.4,39.7,18.7
388,27/05/2019,15:06:20,44.6,17.4,39.7,18.7
389,27/05/2019,15:06:30,44.6,17.4,39.7,18.7
390,27/05/2019,15:06:40,44.6,17.4,39.7,18.7
391,27/05/2019,15:06:50,44.6,17.4,39.6,18.7
392,27/05/2019,15:07:00,44.6,17.4,39.6,18.7
393,27/05/2019,15:07:10,44.5,17.4,39.6,18.7
394,27/05/2019,15:07:20,44.5,17.4,39.6,18.7
395,27/05/2019,15:07:30,44.5,17.4,39.6,18.7
396,27/05/2019,15:07:40,44.5,17.4,39.6,18.7
397,27/05/2019,15:07:50,44.5,17.4,39.6,18.7
398,27/05/2019,15:08:00,44.4,17.4,39.6,18.7
399,27/05/2019,15:08:10,44.4,17.4,39.6,18.7
400,27/05/2019,15:08:20,44.4,17.4,39.5,18.7
401,27/05/2019,15:08:30,44.4,17.4,39.5,18.7
402,27/05/2019,15:08:40,44.4,17.4,39.5,18.7
403,27/05/2019,15:08:50,44.4,17.4,39.5,18.7
404,27/05/2019,15:09:00,44.4,17.4,39.5,18.7
405,27/05/2019,15:09:10,44.4,17.4,39.5,18.7
406,27/05/2019,15:09:20,44.4,17.4,39.5,18.7
407,27/05/2019,15:09:30,44.4,17.4,39.4,18.7
408,27/05/2019,15:09:40,44.4,17.4,39.4,18.7
409,27/05/2019,15:09:50,44.3,17.4,39.4,18.7
410,27/05/2019,15:10:00,44.3,17.4,39.4,18.7
411,27/05/2019,15:10:10,44.3,17.4,39.4,18.7
412,27/05/2019,15:10:20,44.3,17.4,39.4,18.7
413,27/05/2019,15:10:30,44.3,17.4,39.4,18.7
414,27/05/2019,15:10:40,44.2,17.4,39.4,18.7
415,27/05/2019,15:10:50,44.2,17.4,39.4,18.7
416,27/05/2019,15:11:00,44.2,17.4,39.4,18.7
417,27/05/2019,15:11:10,44.2,17.4,39.4,18.7
418,27/05/2019,15:11:20,44.2,17.4,39.4,18.7
419,27/05/2019,15:11:30,44.2,17.4,39.3,18.7
420,27/05/2019,15:11:40,44.2,17.4,39.3,18.7
421,27/05/2019,15:11:50,44.2,17.4,39.3,18.7
422,27/05/2019,15:12:00,44.2,17.4,39.3,18.7
423,27/05/2019,15:12:10,44.1,17.4,39.3,18.7
424,27/05/2019,15:12:20,44.1,17.4,39.3,18.7
425,27/05/2019,15:12:30,44.1,17.4,39.3,18.7
426,27/05/2019,15:12:40,44.1,17.4,39.3,18.7
427,27/05/2019,15:12:50,44.1,17.4,39.3,18.7
428,27/05/2019,15:13:00,44.1,17.4,39.3,18.7
429,27/05/2019,15:13:10,44.1,17.4,39.3,18.7
430,27/05/2019,15:13:20,44.1,17.4,39.2,18.7
431,27/05/2019,15:13:30,44.0,17.4,39.2,18.7
432,27/05/2019,15:13:40,44.0,17.4,39.2,18.7
433,27/05/2019,15:13:50,43.9,17.4,39.2,18.7
434,27/05/2019,15:14:00,43.9,17.4,39.2,18.7
435,27/05/2019,15:14:10,43.9,17.4,39.1,18.7
436,27/05/2019,15:14:20,43.9,17.4,39.1,18.7
437,27/05/2019,15:14:30,43.9,17.4,39.1,18.7
438,27/05/2019,15:14:40,43.9,17.4,39.2,18.7
439,27/05/2019,15:14:50,43.9,17.4,39.2,18.8
440,27/05/2019,15:15:00,43.8,17.4,39.2,18.8
441,27/05/2019,15:15:10,43.8,17.4,39.2,18.8
442,27/05/2019,15:15:20,43.8,17.4,39.2,18.8
