Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient
2-P =,Untitled 2 Process
2-A =,Untitled 2 Ambient


Interval:,10,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
0,27/05/2019,14:01:39,46.8,18.0,26.8,19.5
1,27/05/2019,14:01:49,48.4,18.0,27.6,19.5
2,27/05/2019,14:01:59,49.7,18.0,28.3,19.5
3,27/05/2019,14:02:09,50.9,17.9,29.0,19.5
4,27/05/2019,14:02:19,51.9,17.9,29.6,19.5
5,27/05/2019,14:02:29,52.7,17.9,30.2,19.5
6,27/05/2019,14:02:39,53.5,17.9,30.8,19.5
7,27/05/2019,14:02:49,54.1,17.9,31.4,19.5
8,27/05/2019,14:02:59,54.6,17.9,32.0,19.5
9,27/05/2019,14:03:09,55.1,17.9,32.5,19.5
10,27/05/2019,14:03:19,55.5,17.9,33.0,19.5
11,27/05/2019,14:03:29,55.9,17.9,33.5,19.5
12,27/05/2019,14:03:39,56.2,17.9,34.0,19.4
13,27/05/2019,14:03:49,56.4,17.9,34.4,19.4
14,27/05/2019,14:03:59,56.7,17.9,34.8,19.4
15,27/05/2019,14:04:09,56.9,17.9,35.3,19.4
16,27/05/2019,14:04:19,56.9,17.8,35.7,19.4
17,27/05/2019,14:04:29,57.1,17.8,36.1,19.4
18,27/05/2019,14:04:39,57.2,17.8,36.5,19.4
19,27/05/2019,14:04:49,57.3,17.8,36.9,19.4
20,27/05/2019,14:04:59,57.3,17.8,37.2,19.4
21,27/05/2019,14:05:09,57.4,17.8,37.6,19.4
22,27/05/2019,14:05:20,57.4,17.8,38.0,19.4
23,27/05/2019,14:05:30,57.5,17.8,38.3,19.4
24,27/05/2019,14:05:40,57.5,17.8,38.5,19.4
25,27/05/2019,14:05:50,57.5,17.8,38.8,19.4
26,27/05/2019,14:06:00,57.5,17.8,39.0,19.3
27,27/05/2019,14:06:10,57.5,17.8,39.3,19.3
28,27/05/2019,14:06:20,57.5,17.8,39.5,19.3
29,27/05/2019,14:06:30,57.5,17.8,39.8,19.3
30,27/05/2019,14:06:40,57.5,17.8,40.0,19.3
31,27/05/2019,14:06:50,57.5,17.8,40.3,19.3
32,27/05/2019,14:07:00,57.5,17.8,40.5,19.3
33,27/05/2019,14:07:10,57.4,17.8,40.7,19.3
34,27/05/2019,14:07:20,57.4,17.8,40.9,19.3
35,27/05/2019,14:07:30,57.3,17.8,41.1,19.3
36,27/05/2019,14:07:40,57.3,17.8,41.3,19.3
37,27/05/2019,14:07:50,57.2,17.8,41.5,19.3
38,27/05/2019,14:08:00,57.2,17.8,41.6,19.3
39,27/05/2019,14:08:10,57.1,17.8,41.8,19.3
40,27/05/2019,14:08:20,57.1,17.8,42.0,19.3
41,27/05/2019,14:08:30,57.0,17.8,42.1,19.3
42,27/05/2019,14:08:40,56.9,17.8,42.3,19.3
43,27/05/2019,14:08:50,56.8,17.7,42.4,19.3
44,27/05/2019,14:09:00,56.7,17.7,42.5,19.3
45,27/05/2019,14:09:10,56.6,17.7,42.7,19.3
46,27/05/2019,14:09:20,56.6,17.7,42.8,19.3
47,27/05/2019,14:09:30,56.5,17.7,42.9,19.3
48,27/05/2019,14:09:40,56.4,17.7,43.0,19.3
49,27/05/2019,14:09:50,56.4,17.7,43.1,19.2
50,27/05/2019,14:10:00,56.3,17.7,43.1,19.2
51,27/05/2019,14:10:10,56.3,17.7,43.2,19.2
52,27/05/2019,14:10:20,56.2,17.7,43.3,19.2
53,27/05/2019,14:10:30,56.1,17.7,43.4,19.2
54,27/05/2019,14:10:40,56.1,17.7,43.5,19.2
55,27/05/2019,14:10:50,56.0,17.7,43.6,19.2
56,27/05/2019,14:11:00,55.9,17.7,43.7,19.2
57,27/05/2019,14:11:10,55.8,17.7,43.8,19.2
58,27/05/2019,14:11:20,55.8,17.7,43.8,19.2
59,27/05/2019,14:11:30,55.7,17.7,43.9,19.2
60,27/05/2019,14:11:40,55.6,17.7,44.0,19.2
61,27/05/2019,14:11:50,55.5,17.7,44.0,19.2
