#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,38.47217,20:05:54.922730,56.37158,20:05:55.738559,108.1328,20.874264691964726,20:05:56.554453,1184.18,21.783261430529535,20:05:57.372551,1185.225,21.996311565599022,20:05:58.192774,1175.662,20.042524234973293,20:05:59.024227,1176.685,20.251973977919313,20:05:59.841571,1239.0,-312.14827700011284,20:06:00.657553,1185.375,22.026883888897327,20:06:01.472391
1,38.47314,20:06:02.325675,56.37256,20:06:03.142487,108.1362,20.883017923120967,20:06:03.958916,1184.176,21.782445715993177,20:06:04.776487,1185.22,21.9952924491067,20:06:05.595935,1175.654,20.04088588862269,20:06:06.411394,1176.68,20.250950533888613,20:06:07.228110,1238.997,-312.14851987268327,20:06:08.044331,1185.37,22.0258648479815,20:06:08.861029
2,38.47168,20:06:24.772332,56.37061,20:06:25.602968,108.1431,20.900781901591866,20:06:26.418522,1184.165,21.78020249269232,20:06:27.251140,1185.21,21.993254208563425,20:06:28.070745,1175.637,20.037404380940124,20:06:28.886764,1176.664,20.247675495867686,20:06:29.702458,1238.979,-312.14997711528696,20:06:30.532470,1185.355,22.022807710120052,20:06:31.349851
3,38.4707,20:06:32.232389,56.37061,20:06:33.048471,108.147,20.910822451571814,20:06:33.863945,1184.161,21.779386772100835,20:06:34.682600,1185.207,21.99264273443524,20:06:35.516288,1175.634,20.03678999416969,20:06:36.346768,1176.661,20.24706142333406,20:06:37.164190,1238.974,-312.1503819070836,20:06:37.981435,1185.35,22.02178865912818,20:06:38.811307
4,38.4707,20:06:54.816597,56.36963,20:06:55.632542,108.1553,20.93219089867762,20:06:56.463100,1184.138,21.774696347364014,20:06:57.279917,1185.182,21.987547081426694,20:06:58.113910,1175.614,20.0326940588921,20:06:58.929534,1176.642,20.243172275985334,20:06:59.759195,1238.95,-312.1523249209297,20:07:00.575741,1185.327,22.017100992120092,20:07:01.406727
5,38.47021,20:07:17.269492,56.36914,20:07:18.084686,108.1626,20.950984943340966,20:07:18.900292,1184.119,21.770821608400443,20:07:19.732902,1185.163,21.983674343012552,20:07:20.551681,1175.598,20.029417281275574,20:07:21.368537,1176.624,20.23948778666123,20:07:22.185313,1238.929,-312.1540250759973,20:07:23.015620,1185.307,22.01302471661033,20:07:23.832767
