#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,38.23242,16:19:18.152614,56.04883,16:19:18.217416,107.5488,19.371097546592672,16:19:18.284237,1178.779,20.68036856046361,16:19:18.351057,1179.959,20.92157884107316,16:19:18.419874,1170.195,18.921392684463715,16:19:18.488691,1171.275,19.143113850957572,16:19:18.555551,1233.301,-312.6102721135922,16:19:18.621336,1179.891,20.907682426459267,16:19:18.687160
1,38.23047,16:19:18.773963,56.04492,16:19:18.839751,107.5449,19.361061471522248,16:19:18.907570,1178.785,20.68159541119711,16:19:18.974446,1179.967,20.92321368253006,16:19:19.046200,1170.203,18.923035504072534,16:19:19.114018,1171.283,19.14475578300881,16:19:19.182836,1233.311,-312.609460367523,16:19:19.249656,1179.9,20.909521684749542,16:19:19.320731
2,38.22656,16:19:20.489373,56.05078,16:19:20.555203,107.543,19.356172112181643,16:19:20.621008,1178.785,20.68159541119711,16:19:20.691800,1179.961,20.921987552046218,16:19:20.761623,1170.199,18.922214095090563,16:19:20.828436,1171.281,19.144345300611942,16:19:20.898273,1233.311,-312.609460367523,16:19:20.964476,1179.904,20.910339130239887,16:19:21.030894
3,38.22852,16:19:22.116991,56.05469,16:19:22.183143,107.5469,19.366208173043347,16:19:22.248973,1178.791,20.682822258271703,16:19:22.317454,1179.965,20.922804972774664,16:19:22.386596,1170.203,18.923035504072534,16:19:22.452400,1171.283,19.14475578300881,16:19:22.518231,1233.307,-312.6097850654913,16:19:22.585070,1179.902,20.90993040769766,16:19:22.652557
4,38.23047,16:19:23.737010,56.05078,16:19:23.802814,107.5449,19.361061471522248,16:19:23.868607,1178.789,20.682413309653363,16:19:23.936447,1179.967,20.92321368253006,16:19:24.007258,1170.207,18.923856911409757,16:19:24.074087,1171.289,19.14598722773587,16:19:24.142575,1233.311,-312.609460367523,16:19:24.207752,1179.908,20.911156574106386,16:19:24.274612
