#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,0.7041016,20:49:41.607285,1.016113,20:49:42.423306,108.5063,21.83596551857569,20:49:43.239891,1191.29,23.230649722597228,20:49:44.056703,1191.384,23.249751420420754,20:49:44.876524,1182.598,21.46052027951529,20:49:45.708288,1184.547,21.858096370068132,20:49:46.525198,1246.965,-311.504651726568,20:49:47.341273,1193.573,23.694327560759945,20:49:48.157738
1,0.6879883,20:49:49.011476,0.9936523,20:49:49.828271,108.5312,21.90008842755269,20:49:50.661100,1191.571,23.287748980105054,20:49:51.478098,1191.659,23.305628975289075,20:49:52.317836,1182.875,21.517048845263215,20:49:53.151405,1184.808,21.911308591469073,20:49:53.969202,1247.241,-311.4823919826612,20:49:54.786016,1193.826,23.745679913430962,20:49:55.602071
2,0.6762695,20:50:01.404588,0.9750977,20:50:02.221404,108.5693,21.998206508036976,20:50:03.036310,1192.023,23.37957891733502,20:50:03.854806,1192.1,23.395220478198635,20:50:04.687575,1183.323,21.608457691004926,20:50:05.504401,1185.226,21.996515388595245,20:50:06.334406,1247.694,-311.44586317358636,20:50:07.151311,1194.239,23.829494358431575,20:50:07.967805
3,0.675293,20:50:26.471498,0.9711914,20:50:27.287153,108.6406,22.18183129637104,20:50:28.117932,1192.914,23.560537914914597,20:50:28.935950,1192.972,23.572314766229837,20:50:29.770512,1184.201,21.7875439053552,20:50:30.603285,1186.054,22.165246254231857,20:50:31.421126,1248.589,-311.37371522266744,20:50:32.236918,1195.083,24.00072335679504,20:50:33.068698
4,0.6713867,20:50:51.433593,0.9692383,20:50:52.249427,108.7109,22.362890259051078,20:50:53.080205,1193.773,23.73492283417018,20:50:53.898296,1193.828,23.746085835469326,20:50:54.731775,1185.048,21.960233307597267,20:50:55.548596,1186.854,22.328205688910554,20:50:56.366406,1249.462,-311.3033696952395,20:50:57.182224,1195.902,24.166812654947407,20:50:58.000042
5,0.6748047,20:51:16.352969,0.9755859,20:51:17.183747,108.7773,22.533913414387822,20:51:18.000714,1194.611,23.904973698758663,20:51:18.833337,1194.653,23.913494694167483,20:51:19.653365,1185.858,22.125311369260423,20:51:20.469192,1187.631,22.486418427790053,20:51:21.286778,1250.316,-311.2345828059365,20:51:22.118559,1196.732,24.335064691195896,20:51:22.935370
6,0.6772461,20:51:41.279562,0.9770508,20:51:42.095145,108.8398,22.694899271332037,20:51:42.913083,1195.442,24.07353505689782,20:51:43.731781,1195.422,24.069479031933614,20:51:44.551893,1186.619,22.280343034127565,20:51:45.382357,1188.334,22.62951102344163,20:51:46.199171,1251.158,-311.16678920570143,20:51:47.015327,1197.577,24.50628717267471,20:51:47.832810
7,0.6796875,20:52:06.184027,0.9804688,20:52:06.999845,108.8979,22.84455845327008,20:52:07.816983,1196.257,24.238784250013463,20:52:08.634474,1196.217,24.230675400430595,20:52:09.454572,1187.363,22.43185512332607,20:52:10.271316,1189.055,22.776215917109347,20:52:11.088006,1251.978,-311.1007924152243,20:52:11.903735,1198.371,24.667110990113088,20:52:12.721562
