#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,0.7285156,20:55:27.866793,1.039063,20:55:28.683306,109.3584,24.03098501898845,20:55:29.499122,1202.031,25.407633483684446,20:55:30.316935,1201.94,25.38923762206356,20:55:31.150096,1193.016,23.58124870543108,20:55:31.965527,1194.505,23.883467548515988,20:55:32.799596,1257.907,-310.6243491157616,20:55:33.616127,1204.035,25.812539949437447,20:55:34.446893
1,0.7143555,20:55:35.280962,1.032715,20:55:36.097481,109.3755,24.075049098572403,20:55:36.932284,1202.253,25.45250787472502,20:55:37.751390,1202.131,25.42784777467575,20:55:38.570128,1193.208,23.620230907485585,20:55:39.386807,1194.691,23.921204014898912,20:55:40.202894,1258.11,-310.6080595447647,20:55:41.019684,1204.207,25.847273983545985,20:55:41.851097
2,0.7265625,20:56:00.288838,1.043945,20:56:01.105619,109.4331,24.223479608456078,20:56:01.921438,1202.915,25.58629366533943,20:56:02.754210,1202.828,25.56871400885185,20:56:03.573333,1193.896,23.759886947614927,20:56:04.390173,1195.421,24.069276229641282,20:56:05.222615,1258.794,-310.55318375651103,20:56:06.039437,1204.77,25.960947024302726,20:56:06.855245
3,9.9e+37,20:56:25.189228,4.355469,20:56:26.006049,109.4878,24.364442960569058,20:56:26.821894,-4.032227,-506.3932075307642,20:56:27.639995,1203.737,25.752354328971332,20:56:28.479751,1194.546,23.891786097777047,20:56:29.296254,1196.04,24.1947918331353,20:56:30.113427,9.9e+37,0.0,20:56:30.931218,6.949219,-506.33373273710464,20:56:31.747957
4,0.7446289,20:56:50.093672,1.071777,20:56:50.910473,109.5391,24.496649651267465,20:56:51.741444,1204.125,25.830715097551344,20:56:52.559065,1204.099,25.825464581018675,20:56:53.393124,1195.18,24.0203979770205,20:56:54.209641,1196.629,24.314188939994164,20:56:55.040714,1260.115,-310.4472519029862,20:56:55.858247,1206.056,26.22048128843681,20:56:56.689014
