#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,0.6801758,20:52:29.298888,0.9804688,20:52:30.128673,108.9517,22.983147092552706,20:52:30.945526,1196.99,24.3873507850379,20:52:31.777543,1196.917,24.372557327926497,20:52:32.596439,1188.052,22.57211710917323,20:52:33.429174,1189.721,22.91168341563986,20:52:34.245672,1252.714,-311.041577661028,20:52:35.077449,1199.076,24.809855610217536,20:52:35.893257
1,0.671875,20:52:36.743004,0.9741211,20:52:37.560089,108.9688,23.027197806042054,20:52:38.391577,1197.228,24.43557783570316,20:52:39.210390,1197.14,24.41774663991254,20:52:40.044224,1188.276,22.61770725344622,20:52:40.875934,1189.941,22.9564226731513,20:52:41.692751,1252.944,-311.0230771968367,20:52:42.508570,1199.298,24.854794793946404,20:52:43.341581
2,0.6796875,20:53:01.747429,0.9799805,20:53:02.563951,109.0283,23.180478058742715,20:53:03.379780,1197.979,24.587719635159107,20:53:04.198580,1197.886,24.568882206304217,20:53:05.018530,1189.013,22.767671431247805,20:53:05.834214,1190.651,23.100775398937138,20:53:06.651025,1253.713,-310.96123562355103,20:53:07.466841,1200.021,25.001116990854015,20:53:08.284655
