#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,39.43604,0.00,57.7666,14:39.9,109.5747,24.5883984,14:40.7,1216.8,28.38247025,14:41.6,1216.711,28.36460708,14:42.4,1207.339,26.47924847,14:43.2,1208.426,26.69835843,14:44.1,1272.737,-309.4383222,14:44.9,1217.882,28.59957701,14:45.7
1,39.43848,25.00,57.77148,14:47.4,109.8735,25.35856547,14:48.2,1216.916,28.40575144,14:49.0,1216.767,28.37584692,14:49.8,1207.415,26.49457178,14:50.7,1208.536,26.72052504,14:51.5,1272.854,-309.4289971,14:52.3,1218.02,28.62725902,14:53.1
2,39.44727,50.00,57.7876,15:12.4,110.3633,26.62141328,15:13.2,1217.293,28.48140631,15:14.0,1217.014,28.42541902,15:14.8,1207.763,26.56472922,15:15.6,1208.91,26.79588263,15:16.5,1273.258,-309.3968016,15:17.3,1218.451,28.71370329,15:18.1
3,39.46045,75.00,57.80225,15:37.3,110.5249,27.03816679,15:38.1,1217.681,28.55925427,15:38.9,1217.346,28.49204104,15:39.8,1208.172,26.64716922,15:40.6,1209.294,26.87324092,15:41.4,1273.663,-309.3645323,15:42.2,1218.842,28.79210939,15:43.1
4,39.46973,100.00,57.81787,16:02.2,110.5996,27.23082915,16:03.1,1218.066,28.63648594,16:03.9,1217.71,28.56507222,16:04.7,1208.582,26.72979436,16:05.5,1209.681,26.95118899,16:06.3,1274.066,-309.3324283,16:07.2,1219.219,28.86769413,16:08.0
5,39.48975,125.00,57.84473,16:27.2,110.647,27.35308635,16:28.0,1218.457,28.71490657,16:28.8,1218.101,28.64350629,16:29.6,1209.01,26.81602941,16:30.4,1210.07,27.02952517,16:31.3,1274.468,-309.3004099,16:32.1,1219.591,28.94226299,16:32.9
6,39.49365,150.00,57.83691,16:52.1,110.6846,27.45006982,16:52.9,1218.847,28.79311193,16:53.7,1218.511,28.72573588,16:54.5,1209.403,26.89519677,16:55.3,1210.463,27.10865186,16:56.2,1274.865,-309.2687954,16:57.0,1219.969,29.01802092,16:57.8
7,39.49902,175.00,57.85889,17:16.9,110.7188,27.53828588,17:17.8,1219.245,28.87290637,17:18.6,1218.801,28.78388847,17:19.4,1209.79,26.97314072,17:20.2,1210.864,27.18937375,17:21.1,1275.239,-309.2390178,17:21.9,1220.312,29.0867523,17:22.7
8,39.5083,200.00,57.87158,17:41.9,110.749,27.61618615,17:42.7,1219.618,28.94767473,17:43.5,1219.137,28.85125512,17:44.4,1210.165,27.04865386,17:45.2,1211.216,27.26021894,17:46.0,1275.603,-309.2100412,17:46.8,1220.647,29.15386969,17:47.7
9,39.51807,225.00,57.88623,18:06.8,110.7778,27.69047679,18:07.6,1219.976,29.01942371,18:08.5,1219.484,28.92081579,18:09.3,1210.522,27.12052963,18:10.1,1211.551,27.32763143,18:10.9,1275.963,-309.1813877,18:11.8,1220.982,29.22097627,18:12.6
10,39.52637,250.00,57.8999,18:31.8,110.8052,27.76115756,18:32.6,1220.322,29.08875596,18:33.4,1219.823,28.98876155,18:34.2,1210.867,27.18997759,18:35.1,1211.872,27.39221642,18:35.9,1276.311,-309.1536939,18:36.7,1221.309,29.28646989,18:37.5
11,39.53076,275.00,57.90527,18:40.6,110.8154,27.78746975,18:41.5,1220.446,29.11360055,18:42.3,1219.945,29.0132113,18:43.1,1210.988,27.21433195,18:43.9,1211.987,27.41535191,18:44.8,1276.436,-309.1437474,18:45.6,1221.427,29.31010115,18:46.4
12,39.54004,300.00,57.91846,19:05.7,110.8423,27.85686266,19:06.5,1220.783,29.18111426,19:07.4,1220.284,29.081142,19:08.2,1211.322,27.28155064,19:09.0,1212.303,27.47891757,19:09.8,1276.782,-309.1162186,19:10.7,1221.753,29.37538055,19:11.5
13,39.55029,325.00,57.93311,19:30.7,110.8687,27.9249671,19:31.5,1221.117,29.24801617,19:32.3,1220.611,29.14665759,19:33.2,1211.646,27.34674641,19:34.0,1212.611,27.54086462,19:34.8,1277.118,-309.0894896,19:35.6,1222.069,29.43864776,19:36.5
14,39.55859,350.00,57.94482,19:55.6,110.8945,27.99152502,19:56.5,1221.439,29.31250425,19:57.3,1220.928,29.21015982,19:58.1,1211.963,27.41052374,19:58.9,1212.914,27.60179704,19:59.7,1277.445,-309.0634805,20:00.6,1222.379,29.50070438,20:01.4
15,39.56738,375.00,57.95947,20:20.6,110.9199,28.05705228,20:21.4,1221.761,29.37698237,20:22.2,1221.243,29.27325182,20:23.0,1212.277,27.47368785,20:23.9,1213.213,27.66191632,20:24.7,1277.77,-309.0376342,20:25.5,1222.683,29.56155093,20:26.3
16,39.57568,400.00,57.97119,20:45.5,110.9458,28.12387073,20:46.3,1222.074,29.43964875,20:47.1,1221.549,29.33453206,20:48.0,1212.581,27.53483122,20:48.8,1213.505,27.72061974,20:49.6,1278.087,-309.0124279,20:50.4,1222.986,29.6221885,20:51.2
17,39.58545,425.00,57.98437,21:10.4,110.9736,28.19559236,21:11.2,1222.386,29.50210555,21:12.1,1221.854,29.39560308,21:12.9,1212.885,27.59596561,21:13.7,1213.794,27.77871189,21:14.5,1278.401,-308.9874637,21:15.4,1223.282,29.6814167,21:16.2
18,39.59326,450.00,57.99707,21:35.4,110.9961,28.25364154,21:36.2,1222.687,29.56235148,21:37.0,1222.151,29.45506364,21:37.8,1213.181,27.65548257,21:38.7,1214.08,27.83619302,21:39.5,1278.711,-308.9628209,21:40.3,1223.578,29.74063649,21:41.1
19,39.60156,475.00,58.00879,22:00.3,111.0205,28.31659375,22:01.2,1222.991,29.62318905,22:02.0,1222.446,29.5141154,22:02.8,1213.475,27.71458895,22:03.7,1214.363,27.89306338,22:04.5,1279.018,-308.9384201,22:05.3,1223.867,29.7984477,22:06.1
20,39.60986,500.00,58.02051,22:25.3,111.0439,28.37696703,22:26.1,1223.286,29.68221702,22:27.0,1222.733,29.57155774,22:27.8,1213.76,27.77187794,22:28.6,1214.64,27.94872049,22:29.4,1279.314,-308.9148968,22:30.3,1224.149,29.85485093,22:31.1
21,39.61768,525.00,58.03369,22:50.3,111.0669,28.43630932,22:51.1,1223.575,29.74003633,22:51.9,1223.018,29.62859196,22:52.7,1214.041,27.82835515,22:53.6,1214.909,28.00276304,22:54.4,1279.612,-308.8912178,22:55.2,1224.428,29.91064662,22:56.0
22,39.62451,550.00,58.04346,23:15.2,111.0894,28.49436255,23:16.0,1223.854,29.79584737,23:16.8,1223.298,29.68461798,23:17.7,1214.319,27.88422186,23:18.5,1215.176,28.05639686,23:19.3,1279.896,-308.8686541,23:20.1,1224.701,29.96523518,23:20.9
23,39.6333,575.00,58.0542,23:40.1,111.1133,28.55602905,23:40.9,1224.129,29.85085095,23:41.8,1223.567,29.7384359,23:42.6,1214.592,27.93907647,23:43.4,1215.441,28.10962209,23:44.2,1280.179,-308.8461728,23:45.0,1224.971,30.01921685,23:45.9
24,39.63916,600.00,58.06543,24:05.1,111.1348,28.61150404,24:05.9,1224.401,29.90524736,24:06.7,1223.839,29.79284697,24:07.5,1214.86,27.99291938,24:08.3,1215.7,28.16163564,24:09.2,1280.458,-308.8240121,24:10.0,1225.235,30.07199218,24:10.8
25,39.64795,625.00,58.07666,24:30.0,111.1577,28.67059234,24:30.8,1224.667,29.95843699,24:31.6,1224.104,29.84585092,24:32.5,1215.127,28.04655447,24:33.3,1215.955,28.21283955,24:34.1,1280.736,-308.8019336,24:34.9,1225.497,30.1243611,24:35.8
26,39.65674,650.00,58.0874,24:54.9,111.1797,28.72735934,24:55.8,1224.931,30.01122001,24:56.6,1224.368,29.89864817,24:57.4,1215.389,28.09917843,24:58.2,1216.209,28.2638364,24:59.1,1281.005,-308.7805726,24:59.9,1225.755,30.17592408,25:00.7
27,39.66309,675.00,58.09961,25:19.9,111.1997,28.77896652,25:20.7,1225.191,30.06319676,25:21.6,1224.627,29.95043899,25:22.4,1215.646,28.15079165,25:23.2,1216.457,28.31362257,25:24.0,1281.275,-308.7591347,25:24.8,1226.01,30.22688124,25:25.7
28,39.66895,700.00,58.1084,25:44.8,111.2212,28.8344451,25:45.7,1225.446,30.11416767,25:46.5,1224.906,30.0062219,25:47.3,1215.894,28.20059135,25:48.1,1216.705,28.36340279,25:48.9,1281.55,-308.7373025,25:49.8,1226.271,30.27903094,25:50.6
29,39.66699,725.00,58.10645,26:09.7,111.2412,28.88605388,26:10.6,1225.69,30.16293401,26:11.4,1225.198,30.06459604,26:12.2,1216.137,28.24938123,26:13.0,1216.942,28.41096946,26:13.8,1281.822,-308.7157112,26:14.6,1226.521,30.32897667,26:15.5
30,39.67383,750.00,58.11768,26:34.6,111.2617,28.93895369,26:35.5,1225.939,30.21269379,26:36.3,1225.451,30.11516703,26:37.1,1216.38,28.29816541,26:37.9,1217.178,28.45833002,26:38.8,1282.075,-308.6956305,26:39.6,1226.759,30.37651945,26:40.4
31,39.68018,775.00,58.12744,26:59.6,111.2808,28.98824155,27:00.4,1226.18,30.26084922,27:01.2,1225.669,30.15873713,27:02.0,1216.621,28.34654242,27:02.9,1217.411,28.50508326,27:03.7,1282.317,-308.676425,27:04.5,1226.998,30.42425654,27:05.3
32,39.68652,800.00,58.13623,27:24.5,111.3018,29.04243321,27:25.4,1226.423,30.30939866,27:26.2,1225.908,30.20649912,27:27.0,1216.859,28.39431171,27:27.8,1217.641,28.55122938,27:28.7,1282.563,-308.6569042,27:29.5,1227.233,30.47118937,27:30.3
33,39.69434,825.00,58.14697,27:49.5,111.3208,29.09146449,27:50.3,1226.661,30.35694366,27:51.1,1226.144,30.25365623,27:52.0,1217.092,28.44107214,27:52.8,1217.869,28.59696919,27:53.6,1282.805,-308.637703,27:54.4,1227.465,30.51751789,27:55.2
34,39.7002,850.00,58.15576,28:14.4,111.3398,29.14049647,28:15.2,1226.897,30.40408379,28:16.1,1226.393,30.3034052,28:16.9,1217.324,28.48762666,28:17.7,1218.093,28.64190165,28:18.5,1283.058,-308.6176312,28:19.4,1227.693,30.56304263,28:20.2
35,39.70654,875.00,58.16553,28:39.3,111.3589,29.18978722,28:40.2,1227.126,30.44982061,28:41.0,1226.597,30.34415898,28:41.8,1217.553,28.53357408,28:42.6,1218.315,28.68642815,28:43.4,1283.279,-308.6001,28:44.3,1227.914,30.60716495,28:45.1
36,39.71289,900.00,58.17383,29:04.2,111.377,29.23649795,29:05.1,1227.355,30.49555242,29:05.9,1226.814,30.38750545,29:06.7,1217.776,28.57831277,29:07.5,1218.532,28.7299472,29:08.4,1283.51,-308.5817774,29:09.2,1228.132,30.65068376,29:10.0
37,39.72021,925.00,58.18604,29:29.2,111.3955,29.28424162,29:30.0,1227.581,30.54068022,29:30.9,1227.042,30.43304437,29:31.7,1218.001,28.62344783,29:32.5,1218.75,28.77366222,29:33.4,1283.743,-308.5632982,29:34.2,1228.347,30.69359925,29:35.0
38,39.72607,950.00,58.19238,29:54.2,111.4121,29.32708245,29:55.0,1227.801,30.58460525,29:55.8,1227.258,30.47618191,29:56.7,1218.22,28.6673746,29:57.5,1218.961,28.81596918,29:58.3,1283.97,-308.5452966,29:59.1,1228.564,30.73690949,30:00.0
39,39.73193,975.00,58.2041,30:19.2,111.4297,29.37250463,30:20.0,1228.021,30.62852567,30:20.8,1227.477,30.51991405,30:21.7,1218.439,28.71129673,30:22.5,1219.171,28.85807137,30:23.3,1284.195,-308.5274555,30:24.1,1228.772,30.77841924,30:25.0
40,39.73633,1000.00,58.20996,30:44.1,111.4482,29.42025018,30:44.9,1228.234,30.67104422,30:45.8,1227.693,30.56304263,30:46.6,1218.651,28.75381055,30:47.4,1219.376,28.89916703,30:48.2,1284.415,-308.5100126,30:49.1,1228.981,30.8201244,30:49.9
41,39.74365,1025.00,58.21826,31:09.1,111.4668,29.46825448,31:09.9,1228.442,30.71256051,31:10.7,1227.922,30.60876205,31:11.5,1218.863,28.79632004,31:12.4,1219.579,28.93985776,31:13.2,1284.636,-308.4924922,31:14.0,1229.184,30.8606283,31:14.8
42,39.74854,1050.00,58.22607,31:34.0,111.4829,29.50980713,31:34.8,1228.649,30.75387311,31:35.6,1228.161,30.65647262,31:36.4,1219.07,28.83782276,31:37.2,1219.779,28.97994326,31:38.1,1284.856,-308.4750528,31:38.9,1229.388,30.90132777,31:39.7
43,39.75342,1075.00,58.23584,31:58.9,111.5,29.55394124,31:59.7,1228.853,30.79458298,32:00.5,1228.368,30.69779076,32:01.4,1219.275,28.87892041,32:02.2,1219.975,29.01922331,32:03.0,1285.066,-308.4584077,32:03.8,1229.586,30.94082642,32:04.7
44,39.76025,1100.00,58.24414,32:23.8,111.5166,29.59678542,32:24.7,1229.054,30.83469029,32:25.5,1228.58,30.74010269,32:26.3,1219.475,28.91901177,32:27.1,1220.171,29.05849966,32:28.0,1285.283,-308.4412094,32:28.8,1229.784,30.98032133,32:29.6
45,39.76611,1125.00,58.25146,32:48.8,111.5327,29.63833962,32:49.6,1229.253,30.87439474,32:50.4,1228.788,30.78161212,32:51.3,1219.678,28.95970056,32:52.1,1220.363,29.09697087,32:52.9,1285.485,-308.4252015,32:53.7,1229.979,31.01921419,32:54.6
46,39.77148,1150.00,58.26025,33:13.7,111.5488,29.67989432,33:14.6,1229.449,30.91349695,33:15.4,1228.993,30.82251883,33:16.2,1219.875,28.99918293,33:17.0,1220.553,29.13503784,33:17.8,1285.691,-308.408878,33:18.7,1230.17,31.05730574,33:19.5
47,39.77637,1175.00,58.26758,33:38.7,111.564,29.71912655,33:39.5,1229.644,30.95239602,33:40.3,1229.19,30.8618254,33:41.2,1220.068,29.03786,33:42.0,1220.741,29.17270068,33:42.8,1285.892,-308.3929523,33:43.6,1230.361,31.09539382,33:44.4
48,39.78223,1200.00,58.27588,34:03.6,111.5796,29.75939167,34:04.4,1229.834,30.9902942,34:05.2,1229.395,30.90272426,34:06.1,1220.26,29.07633311,34:06.9,1220.925,29.2095589,34:07.7,1286.088,-308.3774241,34:08.5,1230.547,31.13248149,34:09.3
49,39.78662,1225.00,58.28369,34:28.5,111.5972,29.80481955,34:29.3,1230.025,31.02838839,34:30.1,1229.588,30.94122537,34:31.0,1220.45,29.11440197,34:31.8,1221.109,29.24641385,34:32.6,1286.288,-308.3615804,34:33.4,1230.737,31.17036336,34:34.3
50,39.79248,1250.00,58.29102,34:53.5,111.6104,29.83889086,34:54.3,1230.211,31.065482,34:55.1,1229.771,30.97772834,34:55.9,1220.636,29.151666,34:56.7,1221.29,29.28266473,34:57.6,1286.479,-308.346451,34:58.4,1230.919,31.20664698,34:59.2
51,39.79736,1275.00,58.29785,35:18.4,111.6265,29.88044798,35:19.2,1230.396,31.10237293,35:20.0,1229.957,31.01482646,35:20.9,1220.82,29.18852608,35:21.7,1221.467,29.31811144,35:22.5,1286.671,-308.3312437,35:23.3,1231.099,31.24252878,35:24.2
52,39.80273,1300.00,58.30566,35:43.4,111.6406,29.91684314,35:44.2,1230.577,31.13846307,35:45.0,1230.139,31.05112357,35:45.8,1221.002,29.22498229,35:46.7,1221.641,29.35295442,35:47.5,1286.858,-308.3164337,35:48.3,1231.275,31.27761024,35:49.1
53,39.80713,1325.00,58.31348,36:08.3,111.6548,29.95349681,36:09.1,1230.759,31.17474946,36:09.9,1230.32,31.08721813,36:10.8,1221.181,29.26083447,36:11.6,1221.815,29.38779449,36:12.4,1287.043,-308.3017833,36:13.2,1231.452,31.31288805,36:14.0
54,39.8125,1350.00,58.32031,36:33.2,111.6685,29.98886022,36:34.0,1230.937,31.2102353,36:34.8,1230.494,31.12191383,36:35.7,1221.359,29.2964833,36:36.5,1221.984,29.42163063,36:37.3,1287.226,-308.2872926,36:38.1,1231.623,31.34696719,36:38.9
55,39.81836,1375.00,58.32861,36:58.1,111.6846,30.03041916,36:58.9,1231.113,31.24531946,36:59.7,1230.668,31.15660665,37:00.6,1221.532,29.33112784,37:01.4,1222.154,29.4556642,37:02.2,1287.408,-308.2728821,37:03.0,1231.796,31.38144208,37:03.8
56,39.82373,1400.00,58.33545,37:23.0,111.6982,30.06552523,37:23.8,1231.29,31.2806,37:24.7,1230.84,31.19089788,37:25.5,1221.705,29.3657695,37:26.3,1222.32,29.48889431,37:27.1,1287.586,-308.2587896,37:28.0,1231.963,31.41471862,37:28.8
57,39.82861,1425.00,58.34424,37:48.0,111.7129,30.10347116,37:48.8,1231.459,31.31428316,37:49.6,1231.005,31.22379089,37:50.4,1221.875,29.39980764,37:51.2,1222.486,29.52212177,37:52.1,1287.763,-308.2447773,37:52.9,1232.131,31.44819175,37:53.7
58,39.83398,1450.00,58.35107,38:12.9,111.7256,30.13625473,38:13.7,1231.633,31.34896003,38:14.6,1231.152,31.25309339,38:15.4,1222.043,29.4334426,38:16.2,1222.648,29.55454602,38:17.0,1287.932,-308.2313994,38:17.9,1232.293,31.48046687,38:18.7
59,39.83936,1475.00,58.3584,38:37.9,111.7388,30.17032931,38:38.7,1231.804,31.38303623,38:39.5,1231.321,31.28677877,38:40.3,1222.207,29.46627411,38:41.1,1222.809,29.58676763,38:42.0,1288.104,-308.2177851,38:42.8,1232.455,31.5127395,38:43.6
60,39.84375,1500.00,58.36475,39:02.8,111.7529,30.20672753,39:03.6,1231.974,31.41691039,39:04.4,1231.483,31.31906635,39:05.3,1222.37,29.49890286,39:06.1,1222.966,29.61818629,39:06.9,1288.272,-308.2044884,39:07.7,1232.613,31.54421289,39:08.5
61,39.84717,1525.00,58.37109,39:27.7,111.7656,30.23951207,39:28.5,1232.138,31.4495864,39:29.3,1231.642,31.35075358,39:30.2,1222.529,29.53072846,39:31.0,1223.121,29.6492024,39:31.8,1288.438,-308.1913509,39:32.6,1232.771,31.5756839,39:33.4
62,39.85254,1550.00,58.37695,39:52.6,111.7778,30.27100618,39:53.4,1232.299,31.4816622,39:54.2,1231.799,31.38203988,39:55.1,1222.684,29.56175107,39:55.9,1223.275,29.68001613,39:56.7,1288.599,-308.1786102,39:57.5,1232.926,31.60655507,39:58.4
63,39.85645,1575.00,58.3833,40:17.6,111.7891,30.30017721,40:18.4,1232.458,31.51333712,40:19.2,1231.953,31.41272608,40:20.0,1222.841,29.59317162,40:20.8,1223.428,29.71062751,40:21.7,1288.761,-308.1657912,40:22.5,1233.079,31.63702566,40:23.3
64,39.86133,1600.00,58.38916,40:42.5,111.8013,30.33167187,40:43.3,1232.616,31.54481046,40:44.1,1232.109,31.44380851,40:45.0,1222.996,29.62418959,40:45.8,1223.577,29.74043643,40:46.6,1288.921,-308.1531314,40:47.4,1233.231,31.66729491,40:48.3
65,39.86475,1625.00,58.39502,41:07.5,111.8145,30.36574839,41:08.3,1232.772,31.57588308,41:09.1,1232.26,31.47389251,41:09.9,1223.147,29.65440488,41:10.8,1223.722,29.76944308,41:11.6,1289.079,-308.1406307,41:12.4,1233.377,31.69636725,41:13.2
66,39.87012,1650.00,58.40234,41:32.4,111.8262,30.39595286,41:33.2,1232.923,31.60595758,41:34.0,1232.409,31.50357592,41:34.9,1223.296,29.68421782,41:35.7,1223.866,29.79824768,41:36.5,1289.232,-308.1285265,41:37.3,1233.525,31.72583579,41:38.1
67,39.87402,1675.00,58.40723,41:57.3,111.8379,30.42615759,41:58.1,1233.072,31.63563163,41:58.9,1232.552,31.53206205,41:59.8,1223.443,29.7136285,42:00.6,1224.008,29.82665027,42:01.4,1289.383,-308.1165813,42:02.2,1233.666,31.75390861,42:03.0
68,39.87793,1700.00,58.41357,42:22.2,111.8496,30.45636259,42:23.0,1233.22,31.66510444,42:23.8,1232.697,31.56094461,42:24.7,1223.588,29.74263701,42:25.5,1224.148,29.85465093,42:26.3,1289.535,-308.1045579,42:27.1,1233.809,31.78237771,42:27.9
69,39.88232,1725.00,58.41992,42:47.1,111.8608,30.48527702,42:47.9,1233.372,31.69537166,42:48.8,1232.835,31.58843098,42:49.6,1223.733,29.7716435,42:50.4,1224.289,29.8828497,42:51.2,1289.683,-308.0928516,42:52.1,1233.952,31.81084487,42:52.9
70,39.88574,1750.00,58.42725,43:12.1,111.873,30.51677338,43:12.9,1233.523,31.72543758,43:13.7,1232.977,31.61671218,43:14.5,1223.872,29.79944783,43:15.4,1224.426,29.91024667,43:16.2,1289.829,-308.0813043,43:17.0,1234.09,31.83831484,43:17.8
71,39.88916,1775.00,58.43213,43:37.1,111.8833,30.54336479,43:37.9,1233.669,31.75450588,43:38.7,1233.116,31.64439404,43:39.6,1224.013,29.82765032,43:40.4,1224.56,29.93704198,43:41.2,1289.974,-308.0698368,43:42.0,1234.226,31.86538493,43:42.8
72,39.89307,1800.00,58.4375,44:02.0,111.895,30.57357081,44:02.8,1233.81,31.78257678,44:03.7,1233.25,31.67107841,44:04.5,1224.147,29.85445093,44:05.3,1224.693,29.96363562,44:06.1,1290.112,-308.0589236,44:06.9,1234.359,31.89185619,44:07.8
73,39.89746,1825.00,58.44385,44:26.9,111.9062,30.60248623,44:27.8,1233.951,31.8106458,44:28.6,1233.386,31.69815932,44:29.4,1224.282,29.8814498,44:30.2,1224.826,29.99022756,44:31.1,1290.253,-308.0477739,44:31.9,1234.493,31.9185248,44:32.7
74,39.90088,1850.00,58.44824,44:51.9,111.9165,30.6290783,44:52.7,1234.088,31.83791673,44:53.5,1233.52,31.72484026,44:54.3,1224.417,29.90844693,44:55.1,1224.954,30.01581821,44:56.0,1290.393,-308.036704,44:56.8,1234.624,31.9445947,44:57.6
75,39.90479,1875.00,58.45313,45:16.8,111.9272,30.65670329,45:17.6,1234.221,31.86438974,45:18.4,1233.65,31.75072314,45:19.2,1224.545,29.93404259,45:20.1,1225.082,30.04140729,45:20.9,1290.527,-308.0261091,45:21.7,1234.751,31.96986703,45:22.5
76,39.90869,1900.00,58.45947,45:41.7,111.939,30.68716849,45:42.5,1234.352,31.89046301,45:43.3,1233.777,31.77600717,45:44.2,1224.676,29.96023653,45:45.0,1225.207,30.06639511,45:45.8,1290.659,-308.015673,45:46.7,1234.878,31.99513783,45:47.5
77,39.91309,1925.00,58.46338,46:06.6,111.9487,30.71221212,46:07.5,1234.483,31.91653466,46:08.3,1233.907,31.80188688,46:09.1,1224.805,29.98602895,46:10.0,1225.331,30.09118156,46:10.8,1290.795,-308.0049213,46:11.6,1235.006,32.02060608,46:12.4
78,39.9165,1950.00,58.46875,46:31.6,111.9585,30.73751412,46:32.5,1234.614,31.94260469,46:33.3,1234.031,31.82657065,46:34.1,1224.932,30.01141993,46:34.9,1225.452,30.11536691,46:35.7,1290.925,-307.9946446,46:36.5,1235.128,32.04487905,46:37.4
79,39.91992,1975.00,58.47461,46:56.5,111.9688,30.76410724,46:57.4,1234.742,31.96807613,46:58.2,1234.155,31.85125297,46:59.0,1225.056,30.03620964,46:59.8,1225.573,30.13955086,47:00.6,1291.051,-307.9846846,47:01.5,1235.25,32.06915062,47:02.3
80,39.92285,2000.00,58.47949,47:21.5,111.9785,30.78915143,47:22.3,1234.871,31.99374499,47:23.1,1234.276,31.87533673,47:23.9,1225.18,30.06099787,47:24.7,1225.693,30.16353356,47:25.6,1291.179,-307.9745671,47:26.4,1235.369,32.092824,47:27.2
81,39.92676,2025.00,58.48437,47:46.4,111.9888,30.81574494,47:47.2,1234.997,32.01881539,47:48.0,1234.397,31.89941911,47:48.8,1225.301,30.08518497,47:49.6,1225.811,30.18711521,47:50.4,1291.306,-307.9645292,47:51.3,1235.489,32.11669495,47:52.1
82,39.92969,2050.00,58.48926,48:11.3,111.9971,30.83717481,48:12.1,1235.118,32.04288952,48:12.9,1234.519,31.92369911,48:13.8,1225.422,30.10937067,48:14.6,1225.927,30.21029586,48:15.4,1291.431,-307.95465,48:16.2,1235.604,32.13957001,48:17.1
83,39.93359,2075.00,58.49414,48:36.3,112.0073,30.86351051,48:37.1,1235.235,32.06616649,48:37.9,1234.636,31.94698271,48:38.7,1225.538,30.13255565,48:39.6,1226.041,30.2330756,48:40.4,1291.554,-307.9449294,48:41.2,1235.72,32.16264271,48:42.0
84,39.93701,2100.00,58.49854,49:01.2,112.0166,30.88752263,49:02.0,1235.355,32.09003896,49:02.9,1234.752,31.97006602,49:03.7,1225.658,30.15653875,49:04.5,1226.154,30.25565429,49:05.3,1291.674,-307.9354464,49:06.2,1235.835,32.18551526,49:07.0
85,39.94043,2125.00,58.50342,49:26.2,112.0259,30.91153493,49:27.0,1235.469,32.11271655,49:27.8,1234.867,31.99294908,49:28.6,1225.769,30.17872189,49:29.4,1226.265,30.27783217,49:30.3,1291.791,-307.9262009,49:31.1,1235.945,32.20739217,49:31.9
86,39.94287,2150.00,58.50928,49:51.1,112.0352,30.9355474,49:51.9,1235.586,32.13598965,49:52.7,1234.981,32.01563193,49:53.6,1225.883,30.20150335,49:54.4,1226.375,30.29980909,49:55.2,1291.908,-307.916956,49:56.0,1236.057,32.22966568,49:56.9
87,39.94678,2175.00,58.51367,50:16.0,112.0435,30.95697802,50:16.8,1235.7,32.15866475,50:17.6,1235.092,32.03771668,50:18.5,1225.995,30.22388393,50:19.3,1226.482,30.32118553,50:20.1,1292.024,-307.9077905,50:20.9,1236.167,32.25154029,50:21.8
88,39.94922,2200.00,58.51758,50:40.9,112.0527,30.9807326,50:41.8,1235.812,32.18094085,50:42.6,1235.201,32.05940237,50:43.4,1226.106,30.2460635,50:44.2,1226.592,30.34316016,50:45.1,1292.137,-307.8988625,50:45.9,1236.274,32.27281723,50:46.7
89,39.95313,2225.00,58.52197,51:05.9,112.061,31.0021635,51:06.7,1235.92,32.20242025,51:07.5,1235.31,32.08108695,51:08.4,1226.214,30.26764248,51:09.2,1226.696,30.36393512,51:10.0,1292.249,-307.890014,51:10.9,1236.379,32.29369542,51:11.7
90,39.95557,2250.00,58.52686,51:30.8,112.0708,31.02746763,51:31.7,1236.031,32.22449515,51:32.5,1235.419,32.10277039,51:33.3,1226.323,30.28942015,51:34.2,1226.802,30.38510853,51:35.0,1292.362,-307.8810869,51:35.8,1236.487,32.31516904,51:36.6
91,39.95801,2275.00,58.53125,51:55.8,112.0801,31.0514809,51:56.6,1236.14,32.24617118,51:57.4,1235.524,32.12365706,51:58.3,1226.43,30.31079712,51:59.1,1226.902,30.40508246,51:59.9,1292.471,-307.8724763,52:00.7,1236.589,32.33544867,52:01.5
92,39.96094,2300.00,58.53564,52:20.7,112.0884,31.07291224,52:21.5,1236.248,32.26764723,52:22.4,1235.628,32.14434377,52:23.2,1226.534,30.33157368,52:24.0,1227.004,30.42545489,52:24.8,1292.581,-307.8637871,52:25.6,1236.691,32.35572732,52:26.4
93,39.96484,2325.00,58.53955,52:45.6,112.0957,31.09176161,52:46.4,1236.352,32.28832684,52:47.3,1235.727,32.16403499,52:48.1,1226.637,30.35214945,52:48.9,1227.104,30.4454269,52:49.7,1292.685,-307.8555722,52:50.5,1236.79,32.3754086,52:51.4
94,39.96777,2350.00,58.54395,53:10.5,112.1055,31.11706639,53:11.3,1236.458,32.30940308,53:12.2,1235.829,32.18432194,53:13.0,1226.739,30.37252446,53:13.8,1227.203,30.46519824,53:14.6,1292.791,-307.8471998,53:15.5,1236.89,32.39528775,53:16.3
95,39.97021,2375.00,58.54834,53:35.5,112.1128,31.135916,53:36.3,1236.557,32.32908654,53:37.1,1235.931,32.2046079,53:38.0,1226.84,30.39269874,53:38.8,1227.3,30.48456925,53:39.6,1292.893,-307.8391437,53:40.4,1236.989,32.41496717,53:41.3
