#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,-2.503395e-06,15:30:31.406263,-1.907349e-06,15:30:31.473071,-1.430511e-06,-242.03742396693735,15:30:31.627657,-2.145767e-06,-506.44166332425925,15:30:31.696480,-2.622604e-06,-506.44166542317333,15:30:31.864024,-1.311302e-06,-506.4416596511616,15:30:32.015619,-2.026558e-06,-506.44166279953305,15:30:32.082441,-1.66893e-06,-506.4260961120874,15:30:32.149261,-2.264977e-06,-506.44166384899194,15:30:32.301853
1,-1.311302e-06,15:30:32.431507,-1.66893e-06,15:30:32.497382,-9.536743e-07,-242.03742290690263,15:30:32.649921,-2.741814e-06,-506.4416659479053,15:30:32.715746,-1.907349e-06,-506.4416622748055,15:30:32.821498,-1.66893e-06,-506.44166122534693,15:30:32.888340,-1.66893e-06,-506.44166122534693,15:30:32.992233,-1.66893e-06,-506.4260961120874,15:30:33.059179,-1.907349e-06,-506.4416622748055,15:30:33.210423
2,-1.430511e-06,15:30:50.946963,-1.66893e-06,15:30:51.013001,-1.311302e-06,-242.03742370192907,15:30:51.080612,-2.264977e-06,-506.44166384899194,15:30:51.225578,-2.622604e-06,-506.44166542317333,15:30:51.326194,-1.907349e-06,-506.4416622748055,15:30:51.393103,-2.145767e-06,-506.44166332425925,15:30:51.534390,-2.384186e-06,-506.42609652339473,15:30:51.600445,-1.549721e-06,-506.4416607006195,15:30:51.667249
