#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,17.82568,15:17:24.882223,26.12744,15:17:25.713997,110.6519,27.3657249964972,15:17:26.530810,1197.852,24.56199519035262,15:17:27.359402,1198.738,24.74142532370818,15:17:28.189349,1188.87,22.738578164793196,15:17:29.007171,1189.599,22.88687137375639,15:17:29.823004,1252.873,-311.0287879990935,15:17:30.639818,1198.577,24.708825855126417,15:17:31.456414
1,17.82617,15:17:32.291181,26.12793,15:17:33.119968,110.6528,27.36804638610158,15:17:33.936002,1197.824,24.556323444113314,15:17:34.765787,1198.707,24.735148606929215,15:17:35.584371,1188.85,22.734509013001443,15:17:36.412157,1189.579,22.882803683626097,15:17:37.229977,1252.849,-311.030718453656,15:17:38.057973,1198.555,24.70437107001055,15:17:38.873572
2,17.82324,15:17:57.294300,26.12451,15:17:58.109125,110.6538,27.370625709716467,15:17:58.925931,1197.729,24.537079440173308,15:17:59.756755,1198.599,24.713280592308955,15:18:00.575518,1188.779,22.72006320011342,15:18:01.393583,1189.515,22.8697868058542,15:18:02.221147,1252.767,-311.0373143355683,15:18:03.038014,1198.485,24.69019643482204,15:18:03.855961
